City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Itarema,BR,2023-01-24 19:15:41,-2.9248,-39.9167,83.01,64,43,9.71
282,Codrington,AU,2023-01-24 19:18:29,-38.2667,141.9667,53.04,91,5,4.07
283,Kibre Mengist,ET,2023-01-24 19:18:29,5.8833,38.9833,59.43,45,12,2.04
284,Alenquer,BR,2023-01-24 19:18:29,-1.9417,-54.7383,78.98,84,100,3.02
285,Jacareacanga,BR,2023-01-24 19:18:30,-6.2222,-57.7528,83.5,79,88,2.42
286,Aksu,CN,2023-01-24 19:18:30,41.1231,80.2644,3.34,90,70,5.84
287,Chapais,CA,2023-01-24 19:18:05,49.7834,-74.8492,4.78,83,100,11.65
288,Parbhani,IN,2023-01-24 19:18:30,19.2667,76.7833,74.17,45,4,9.22
289,Moyale,KE,2023-01-24 19:18:23,3.5167,39.0584,75.72,35,22,15.75
290,Roald,NO,2023-01-24 19:18:31,62.5833,6.1333,50.14,81,40,23.02
291,Sinnamary,GF,2023-01-24 19:18:31,5.3833,-52.95,79.11,67,36,10.83
292,Goundam,ML,2023-01-24 19:18:32,16.4145,-3.6708,83.5,10,32,9.46
