City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Aksu,CN,41.1231,80.2644,10.51,90,73,4.45,broken clouds
305,Saint-Joseph,RE,-21.3667,55.6167,79.18,89,100,2.66,light rain
306,Thompson,CA,55.7435,-97.8558,-16.04,93,88,8.5,overcast clouds
307,Cockburn Town,TC,21.4612,-71.1419,76.64,61,95,19.62,overcast clouds
308,Iranshahr,IR,27.2025,60.6848,52.2,72,91,6.06,light rain
309,Virginia Beach,US,36.8529,-75.978,52.03,47,20,8.05,few clouds
310,Senador Guiomard,BR,-10.1522,-67.7392,82.15,85,99,6.17,overcast clouds
311,Novobelokatay,RU,55.7062,58.9549,12.04,96,97,7.76,overcast clouds
312,Bakau,GM,13.4781,-16.6819,100.54,16,0,6.91,clear sky
313,Longavi,CL,-35.9667,-71.6833,87.31,14,0,8.25,clear sky
314,Okitipupa,NG,6.5047,4.7839,87.08,57,100,9.24,overcast clouds
315,Pedernales,DO,18.0384,-71.744,80.28,59,39,6.38,scattered clouds
316,Tsabong,BW,-26.0217,22.401,92.19,23,79,4.45,broken clouds
317,Rajpipla,IN,21.8667,73.5,75.92,42,50,4.27,scattered clouds
318,Bulawayo,ZW,-20.15,28.5833,84.25,25,12,2.17,few clouds
319,Mzimba,MW,-11.9,33.6,67.03,91,100,2.93,overcast clouds
320,Kuytun,RU,54.3419,101.5036,17.96,96,100,6.89,light snow
321,Penzance,GB,50.1186,-5.5371,43.77,74,64,5.17,broken clouds
322,Liverpool,GB,53.4106,-2.9779,46.44,91,100,10.36,overcast clouds
323,Merritt Island,US,28.5392,-80.672,72.09,58,75,12.66,broken clouds
324,Lubao,PH,14.9167,120.55,75.27,78,81,10.4,broken clouds
325,Guider,CM,9.9342,13.9486,98.08,9,97,5.91,overcast clouds
326,Puerto Baquerizo Moreno,EC,-0.9,-89.6,81.59,78,40,6.91,scattered clouds
327,Saint-Louis,SN,16.3333,-15.0,87.06,6,66,13.42,broken clouds
328,Kedrovyy,RU,56.1667,91.8167,19.87,94,100,10.71,light snow
329,Quelimane,MZ,-17.8786,36.8883,80.62,78,80,8.23,broken clouds
330,Marsa Matruh,EG,31.3525,27.2453,61.43,54,53,7.83,broken clouds
